repo,id,text,repo_level,symptom_cate,entity_layer,root_cause,root_cause_sub
BasisVR/Basis,191,"Add every transform when recording finger poses. | The previously violated assumption here is that the index will always match, everywhere. however, a missing finger bone would create an offset, resulting in hand mangling.Fix this by always adding a transform, even if it's null. Now the index continues to line up correctly, even in the absence of some finger bones.Related to #189. I suspect this completes the fix, but I would like to test this in a multiplayer session with someone else before I ",C4,SD,L2,IIV,
BasisVR/Basis,344,"Face tracking now networks value with largest delta instead of current value | - Previously, we were networking the current value for face tracking.- Now, we are networking the value that has the largest delta since the last networked value.- This should make movements that only lasts a split second more likely to be visible, such as blinking, or briefly looking in a specific direction.Also contains this fix attempt:- Try to fix resetting blendshapes was failing on obsolete SkinnedMeshRenderer r",C4,VF,L2,IIV,
BasisVR/Basis,351,"Fix Test in Editor should not use simulated Jiggles transforms | - When entering Test in Editor, the copy of the avatar that is being instantiated was using the Jiggle transforms post-simulation.- As a workaround, if Jiggles are detected on the avatar when pressing Test in Editor, turn the avatar off for three frames before instantiating a copy of it.",C4,SD,L2,RLM,Improper Initialization
Bebb-Protocol-and-Apps/PWS,5,"Update default space | Update the default space file.I tried add it as the default space when I click create space but getting an error:<img width=""365"" alt=""image"" src=""https://user-images.githubusercontent.com/10234268/220510182-6af5afc7-54c0-47b5-a1e8-be855c224e57.png"">I used the url path that you suggested that worked:http://localhost:4943/?canisterId=ryjl3-tyaaa-aaaaa-aaaba-caiDon't have time to debug but feel free to use the new default space if you figure it out before I do.A screen shot ",C5,IC,L3,TDI,
Bebb-Protocol-and-Apps/PWS,9,"Add fix for the explore web page | This PR fixes an issue where the explore page was not able to load on local development. Since I copied the same method that is used in the intro page<img width=""437"" alt=""image"" src=""https://user-images.githubusercontent.com/10234268/225170345-1df1523b-5d27-497e-a03b-03a2e93bb993.png"">This method should work on the mainnet tooAlso npm run vite hot reloading is now communicating with the backend canister. You should give it a try to see if it does too but it is",C5,RS,L3,IIV,
BoiHanny/vrcosc-magicchatbox,23,0.8.341 pre-release white box | In the 0.8.341 pre-release there's an big white box at the bottom that doesn't go away![image](https://github.com/BoiHanny/vrcosc-magicchatbox/assets/36295870/9071f346-1069-473c-a87d-a29aabf95bd4),C5,AF,L4,UPF,
Bone008/HackerJedi,30,Help needed: Improve curved UI script to work on all screens | Currently the curved ui (e.g. Master buttons) looks different on different screens and also is unusable on some screens. ,C5,SD,L3,TDI,
Bone008/HackerJedi,33,MKGlow: Looks different in VR | - outer grid- lifted block color-> copy MKGlow script from master cam to player cam-> adjust intensity,C5,VF,L4,UPF,
Bone008/HackerJedi,60,Bug: enemy projectiles clip through world | reason: collisions between Default and Hacker layers are disabled (so the hacker cannot shoot himself),C5,SD,L4,ICFM,Scope Mismatch
CAOR-MINES-ParisTech/colibri-vr-unity-package,6,Fix disocclusion triangle rendering | The rubbersheet test computed the angle between a triangle's normaland its position in word coordinates instead of in the frame of therespective reference view.This PR passes the reference view position to the shader and uses it totransform world to ref. view coordinates.,C5,RA,L5,GCE,Incorrect Calculation
CertainLach/VivePro2-Linux-Driver,37,Correct recommended render width | The recommended width shall be reported for per-eye resolution that is a half of display's mode width.,C1,VF,L5,GCE,Incorrect Calculation
Chainsawkitten/Deathcap,167,BUG-Dont-zoom-when-scrolling-window-contents | #152 Fixed bug.,C5,IC,L3,ICFM,Scope Mismatch
Chainsawkitten/Deathcap,344,Fixes to not show window promt of saveing scene when choosing same scene | fixes #320 ,C5,AF,L3,ICFM,Unbounded Loop
Chainsawkitten/Deathcap,411,"Only pick objects when mouse is pressed | Right now, when the mouse button is held, picking is performed. This becomes a problem when eg. utilizing sliders or trying to select all text in a text field. If I accidentally move the mouse outside the entity editor when performing such a task, an object will be picked and I will have to reselect the entity I wanted to edit.Solution, only perform picking when the mouse button is first pressed, not subsequent frames.",C5,IC,L1,ICFM,Scope Mismatch
Chainsawkitten/Deathcap,741,Lighting option | Option for whether the scene should be lit or merely rendered with full ambient in editor. Makes it easier to edit scenes that don't contain any lights (or very limited lighting).Fixes #738 ,C5,AF,L4,UPF,
Chainsawkitten/Deathcap,763,Relative grid settings window | Show grid settings window relative to other windows rather than at hardcoded position. This means it will actually be visible/interactable at lower window sizes.Fixes #480 ,C5,SD,L3,GCE,Incorrect Calculation
Chainsawkitten/Deathcap,1100,Testing new light culling + small stuff | This PR removes two lights from the elevator scene and moves the puzzel board to the side without the particals. The shadows are fixed and the bias is removed,C5,SD,L4,GCE,Incorrect Calculation
ChrisDenham/osgopenvrviewer,3,"Fix problem that caused left and right eyes to have the exact same im… | …age.Hi; I was using this viewer code in my own project and it seemed like there was no 3D effect.  I then noticed that my left and right eye had basically exactly the same image.  To verify this, line up two objects in your scene that have different depths, and close your left and right eye.  You will see that the objects are perfectly aligned in both eyes, as opposed to shifting left and right a bit like they should.  Aft",C5,VF,L5,GCE,Incorrect Calculation
DSprtn/GTFO_VR_Plugin,2,World tilt | The world is tilted after I boot into VR.  No idea how it's happening.EDIT: I'm pretty sure it's affected by if the mouse was moved before VR is booted with F1,C5,VF,L4,IAC,
DSprtn/GTFO_VR_Plugin,29,"Fix ""headlamp goggles"" bug on Pimax | The lamp was pointing forward relative to each eye, causing it to show up in each eye with different directions due to Pimax's canted displays. It now points forward relative to the headset.",C5,VF,L5,UPF,
DSprtn/GTFO_VR_Plugin,39,"Nav marker visibility | ### WhatThis PR fixes- Nav markers ( notably scanner markers ) [not rendering through glass](https://i.imgur.com/r095qW0.png)- Terminal pings not being visible when in the terminal### How**Glass**We already mess with the `NavMarker` icon material when they are set up, but only set the shader.`Renderqueue` changed to 4001 to render ontop of everything, glass included```csharpforeach (SpriteRenderer r in __instance.transform.GetComponentsInChildren<SpriteRenderer>()){    r.",C5,VF,L3,ICFM,Pipeline Misordering
DSprtn/GTFO_VR_Plugin,40,"Add comms ( bot commands ), fix world UI clipping | ### WhatThis PR makes the communication menu ( bot commands ) available in VR by adding the menu itself to the world UI, and adding a new action, `OpenAndSelectComms` that both opens the menu and navigates to the next item. Navigation can also be accomplished with the weapon prev/next buttons ( base game behavior, no logic added ). `Interact` is used to select an item, and the existing dismiss button ( Reload ) is used to dismiss the menu.( Ori",C5,SD,L3,UPF,
DSprtn/GTFO_VR_Plugin,46,Fix broken sights of old guns | # The whatThis PR fixes the sights of a few weapons that are currently broken in VR- Drekker Pres MOD 556 Rifle ( new in R3 )- Techman Arbalist machine gun- Techman Klust 6 Burst Cannon ( new in R3 )[Gtfosights-1.webm](https://user-images.githubusercontent.com/8961771/224209382-28208d2e-1b55-495e-bab2-ed7a09e2b5fd.webm)# The howFor the most part you just need to enable the `ALTERNATIVE_PROJECTION_MODE` shader keyword.All existing working sights already have this e,C5,AF,L3,IIV,
DSprtn/GTFO_VR_Plugin,49,"Fix R5 gun sights ( Accrat ND6 Heavy SMG ) | ## WhatFixes the sight of Accrat ND6 Heavy SMGIn addition to the sight being messed up as usual, the gun has animations that incorrectly rotate `weapon_animation_ref` containing the `muzzle align`, resulting in the sight not aligning with the laser and fired bullets. ![nd6_broken_sight](https://github.com/DSprtn/GTFO_VR_Plugin/assets/8961771/e1eaf653-58fa-455f-9e04-202a3b28212c)## How`ALTERNATIVE_PROJECTION_MODE` keyword enabled on material as usual, ",C5,SD,L2,UPF,
DSprtn/GTFO_VR_Plugin,56,"Fix shotguns not firing in weapon direction | ## The problemStarting with `ALT://R6`, all shotgun-type weapons will fire in the direction the player camera is facing, rather than in the direction the muzzle of the weapon is pointing. [broken_shotgun.webm](https://github.com/DSprtn/GTFO_VR_Plugin/assets/8961771/ce09d5bd-924b-4047-ad86-88917c340efb)This only affects shotgun-type weapons.In the `InjectFireFromWeaponMuzzle` patch, `BulletWeapon.Fire()` is hooked and the player `FPSCamera` position a",C5,IC,L1,GCE,Incorrect Calculation
DaXcess/LCVR,104,"Move battery charge indicator + Added extra experiments for testing | For the Zap gun, the battery indicator UI is stuck inside the gun itself - See thread on https://discord.com/channels/1192754217564254238/1196280985227116664This is a fix to move the indicator just above the inventory - I thought this spot would make sense for the time being.I've also just added some helpers to spawn items to playtest with.![zapfix2](https://github.com/DaXcess/LCVR/assets/17107697/baa4624c-07aa-48d5-945a-1dea1",C5,SD,L3,IIV,
DaXcess/LCVR,154,"Revert ""Decouple body from head rotation"" | Unfortunately, it seems that this change has brought over some very annoying bugs, mainly the fact that the player rotation is not set meaning that the walking direction does not match the camera angle.This also causes the head rotation to desync from the actual camera rotation, causing weird visuals on the local (and maybe remote) player model",C5,VF,L2,ICFM,Pipeline Misordering
DanielRBowen/UE-VRHands-Template,3,See the menu thru walls | Put a material which allows the pause menu to be seen thru solid object.,C5,VF,L5,UPF,
Deamoner/spatialjs,8,"Smooth Animation Fixes, Follow Camera Fixes, setSelectedWindow | - Fix Animation Jumping for Rotation and Follow Camera- Follow Camera Bug in Certain Scenarios- Selected Window Nullifying - Performance Fixes",C3,RA,L5,ICFM,Pipeline Misordering
Detegr/openRBRVR,4,"A opaque square in front of the car | If `Render car shadows` is enabled, an opaque square appears in front of the car in external camera:![image](https://github.com/Detegr/openRBRVR/assets/724433/301bcae9-37ca-4d21-9758-927c86aa36fb)",C5,RA,L5,ICFM,Scope Mismatch
Devoxx4KidsDE/workshop-maze-vr,13,disabled text selection | - touching the display can result in text selection- which maybe opens google search assistant- not required in this game :),C5,IC,L3,IAC,
Dominux/DGS,14,Seems like dead stones aren't removed after their death | ![image](https://user-images.githubusercontent.com/55978340/181484044-110f4111-fbc1-4cbc-b58c-f8448103405c.png)![image](https://user-images.githubusercontent.com/55978340/181484112-2d94413b-b50d-4071-b4ab-e4d35b937ea1.png),C5,SD,L4,RLM,Improper Shutdown
Dominux/DGS,40,Bug with GUI VR support | - [x] Some buttons can't be clicked- [x] A virtual keyboard doesn't appear on focusing on input field,C5,IC,L3,RLM,Improper Operation
DrBibop/RoR2VRMod,65,"Fix controller movement handling for flying | This PR addresses [issue 64](https://github.com/DrBibop/RoR2VRMod/issues/64).In the base RoR2 code, the movement input x and y components are used to create a `Vector2`, which is then used to rotate the camera's `Transform`'s y component. The result is a movement vector calculated by taking the camera direction (a `Transform`) and rotating it by the movement input (a `Vector2`).Currently, the CIL patch for controller movement handling in this mod wor",C5,VF,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,167,"fix(ControllerEvents): fix order of controller events | Solves an issue where `TouchpadAxisChanged` occurred before `TouchpadTouchStart` and `TriggerAxisChanged` occurred before `TriggerPressed`. Now, these can only occur in the following frame if the value continues to change, so now you can be assured that a 'Start' event will occur before a 'Changed' event for initialization purposes. (I needed this to get the first change delta and start tracking changes at the right moment.)This also keeps ",C4,SD,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,242,"fix(Interaction): ensure touch state is reset on disable | If an interactable object is touched and grabbed by one controllerbut then another controller touches the object whilst it's grabbedand then the object is disabled, the touch is not reset on theoriginal controller because it's not considered the touching obejct.This fix ensures that the grabbing object and using object alsoforce the touch to be reset as well.",C4,IC,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,260,"fix(Interaction): ensure tracked object stays grabbed on teleport | Previously, if a tracked object was being grabbed and the playerteleported, the tracked object would not have it's position updatedafter the teleport event, meaning the tracked object would whizz tothe player's current location and detach from their hand.This fix, listens out for any teleport events and updates thetracked object's position based on the controller that is holding it.",C4,IC,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,303,fix(Interaction): react to enablement state of interactable_object | So far disabling an interactable_object at runtime did not have anyeffect as it could still be touched and grabed. This patch checks theenablement state explicitly.A fix in the sample scene was needed to remove a boxcollider whichmade it nearly impossible to showcase the feature that disables thedrawer contents.,C4,IC,L1,UPF,
ExtendRealityLtd/VRTK,352,"fix(ControllerEventsUI): fix bug with SteamVR keyboard and uipointer | If SteamVR Keyboard is shown, SteamVR disables both controllers in thescene. If the UIPointer is active whe the keyboard is opened (will happen if using theUI, for example if input field is clicked), VRTK_ControllerEvents willnever change state  because controllers are disable. so UIPointer won'tact accordingly, This causes unwanted behaviours like interacting with the UI even if no Pointeris active.",C4,IC,L1,RLM,Improper Initialization
ExtendRealityLtd/VRTK,356,"fix(Interaction): allow touch highlight to affect all object materials resolves #310 | Previously, the touch highlighting would only change the first materialon the Interactable Object. This fix ensures that all the materials onan object get updated by the hightlight colour.",C4,AF,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,378,tooltips visible when controller is hidden on grab | If you check the hide controler on grab option for the controller and you are using tooltips on the controllers you only see the tooltips when you grab an object. I think most toolkit users would expect the tooltip to inherit the hide function from the controller on grab or an option to hide the tooltip on grab.,C4,SD,L3,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,405,RigidBody not reenabled after drop | When grabbing and holding an object and then moving it against an obstacle it will detach the joint. Still holding the grab button will now not have any effect anymore on obstacles though. One has to release and regrab to have the rigidbody working again. When the object is detached this should be detected and handled as if it was dropped manually.,C4,IC,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,448,"VRTK_Height Adjust Teleport causes problems with grabbing objects with hinges | Using the Height Adjust teleport script causes objects with hinges to move away from their hinge area and attach itself to the controller, rather than swinging open where it is. Upon letting go of the object, it will snap back into place.To replicate:Open the example scene _021_Controller_GrabbingObjectsWithJoints_ and add the _VRTK_Height Adjust Teleport_ script to the _[CameraRig]_ object and _VRTK_Beziel Pointer_ ",C4,IC,L4,UPF,
ExtendRealityLtd/VRTK,454,"fix(Interaction): ensure pointer use activation honours valid hand - resolves #449 | Previously, the Pointer Activate Use Action setting would alwaysactivate the use function on an interactable object even if the ValidUse Hand was set to ignore the hand the pointer was coming from.This fix ensures the Pointer Use Action honours the Valid Use Handsetting and if the pointer hand is not valid then teleport functionwill also default to working.",C4,IC,L1,IAC,
ExtendRealityLtd/VRTK,455,fix(Presence): ensure controller colliders do not affect user collider - resolves #299 | The controller can have a rigidbody activated on it and this would thenenable the player to push themselves around because the controllerwould collide with the player presence collider.This fix ensures the controller colliders are ignored.,C4,SD,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,482,fix(Interaction): only instance materials if highlight is used | VRTK_Interactable object grabs each material to change the colorif highlighting is used. This breaks batching support in Unityand so it is now only set if highlighting is actually used.,C4,AF,L1,RLM,Improper Initialization
ExtendRealityLtd/VRTK,489,"Height Adjust Teleport triggers drop to floor excessively | While testing a script in the climbing example, I had an issue where I was being teleported to the floor instantly while climbing. I traced the issue back to an OnTeleporting callback getting triggered in VRTK_HeightAdjustTeleport.cs. It appears the floorY variable can vary slightly due to noise in either the Raycast or the eyeCamara tracking position. The comparison on line 155 needs a small tolerance in order to potentially avoid this",C4,IC,L1,ICFM,Scope Mismatch
ExtendRealityLtd/VRTK,518,"VRTK_Door Snapping option seem to be orientation dependant | -Open scene ""025_Controls_Overview"". Move ""NormalDoor"" where you want on the floor.-Press play. It's OK.-Stop.-set rotation of ""NormalDoor"" to 0,-120,0.-Press play. The door is opening without user interaction.![door orientation 0 120 0](https://cloud.githubusercontent.com/assets/21106484/18253973/67c4dfea-7399-11e6-8fd1-3c5815c437f1.jpg)-Stop. Set VRTK_Door Snapping to false.-Play. The door is working normally again.I don't find a sim",C4,SD,L4,GCE,Incorrect Calculation
ExtendRealityLtd/VRTK,528,"fix(UIPointer): prevent central button flickering on hover - resolves #527 | The `UI_CONTROL_OFFSET` const was previously removed as it was thoughtit was no longer required. However, the offset does provide a mechanismfor preventing a discrepancy in hit distance that will cause a UIelement if centrally placed in the canvas to constantly hover enter andimmediately hover exit repeatidly. This causes the button flicker asthe button is constantly being hovered over and then out.The fix is to put the",C4,RA,L3,GCE,Insufficient Precision
ExtendRealityLtd/VRTK,566,"Unexpected behaviour for teleport | An unexpected behaviour occurs with the following settings._VRTK_Controller Events_:- _Pointer Toggle Button_ set to _Touchpad_Press_ (or any button  different from _Pointer Set Button_),- _Pointer Set Button_ set to _Trigger_Click_ (or any button different  from _Pointer Toggle Button_)and also with both _Pointer Toggle Button_ and _Pointer Set Button_ setto _Touchpad_Press_ (or any other button)_VRTK_Simple Pointer_:- _Pointer Visiblity"" set to ""Always_Off""-",C4,IC,L1,ICFM,Scope Mismatch
ExtendRealityLtd/VRTK,570,fix(Colliders): ensure colliders scale properly | The custom rigid body collider object needs to be scaled to matchthe parent object's scale.The PlayerPresence body collider now scales properly.,C4,SD,L4,GCE,Incorrect Calculation
ExtendRealityLtd/VRTK,610,"fix(RadialMenu): only change the axis if the touchpad is being touched | SteamVR seems to sent a TouchpadAxisChanged event when the touchpadis released. This is causing an OnOverEnter event to fire out of theRadialMenu after the OnHoverExit event is fired. Because of this,you'll always get an OnHoverEnter event at the end of picking yourfinger up off of the touchpad.Keep track of if the touchpad is currently being touched or not. Onlytrigger the axis change if it is during an active touch.",C4,IC,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,612,"fix(Pointer): ensure custom pointer objects retain set material | Previously, the custom pointer objects were having their materialsoverriden by the default pointer material which meant that any customobjects didn't look correct.This fix ensures that only the colour and emission colour on thepointer objects is changed and not the material.The inspector settings for the pointers has also had a bit of a tidyup and headers added to make them easier to understand.The Darken method from the Highlight",C4,AF,L1,UPF,
ExtendRealityLtd/VRTK,624,"fix(Interaction): scan also inactive objects in color highlighter | Add true parameter to GetComponentsInChildren to store/restore materialsalso for inactive object (in VRTK_MaterialColorSwapHighlighter).If a script sets some inactive objects as active after highlighting anobject, when that object is unhighlighted the colors of the previouslyinactive objects are not restored. This PR fixes this issue.",C4,AF,L1,TDI,
ExtendRealityLtd/VRTK,758,"fix(AdaptiveQuality): prevent flickering on Unity 5.4.3 | Whenever the render scale is changed the old frame is visible for sometime, looking like flickering when `AdaptiveQuality` is enabled. Thefix is to change the render scale in `LateUpdate` on Unity 5.4.3, too.",C4,RA,L5,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,778,fix(SimplePointer): prevent flicker on activate in different position | The simple pointer can flicker when it is activated in a new positionas the position didn't change untit after the renderers were enabled.This fix disables the renderers on initial beam activation until theposition has been updated and then the renderers are then set totheir correct state.,C4,RA,L5,ICFM,Scope Mismatch
ExtendRealityLtd/VRTK,783,"fix(Interaction): use local rotation when inverting tracked snap handle | The snap handle rotation is inverted when using a tracked object grabmechanic. However, it was using the rotation to invert which causedissues if the object had been rotated in the scene. Rotating thelocal rotation of the snap handle is enough to fix the inversion issueand this does not affect the object if it's world rotation has beenchanged.",C4,SD,L1,GCE,Incorrect Calculation
ExtendRealityLtd/VRTK,789,fix(RadialMenu): apply correct rotation offset to menu | The radial menu offset rotation was inverted causing issues whenpressing the touchpad as the touch position was not in the samelocation as the button position.This fix inverts the touch coordinate to ensure it matches thebutton position.,C4,SD,L3,GCE,Incorrect Calculation
ExtendRealityLtd/VRTK,792,fix(UIPointer): UI not responding after application loses focus | fix(UIPointer): UI not responding after application loses focusIn Unity 5.5 and above the default `EventSystem` pauses its processingwhenever `OnApplicationFocus(false)` is called on it. The solution isto subclass the default `EventSystem` and *not* call the baseimplementation in `OnApplicationFocus`. The rest of this code worksaround some problems when changing the `EventSystem` at runtime whileanother one is active and reference,C4,RS,L3,TDI,
ExtendRealityLtd/VRTK,798,fix(Pointer): ensure ToggleBeam() turns off bezier pointer - fixes #797 | The `ToggleBeam` method was not turning off the bezier pointer as itwas only setting the bezier state to inactive but not actually changingthe visibility of the bezier pointer.This fix ensures that the bezier pointer objects are turned off whenthe beam is toggled off.,C4,IC,L1,ICFM,Scope Mismatch
ExtendRealityLtd/VRTK,827,"fix(Highlighters): ensure cloned object parent is set first | I don't know if there was a specific reason it was being done in the other order, but I just ran into this one - it loses the local scale of the model because Unity will re-calculate scales when you set the parent. So you need to set the parent first.Case where it was uses: Gameobject with scale of 0.015 holding mesh of scale 1 which was the interactable. When touching it, spawned highlighted mesh was at scale 66x because it would rec",C4,SD,L4,GCE,Incorrect Calculation
ExtendRealityLtd/VRTK,833,"SimplePointer starts and stops interacting with objects repeatedly | When the ""Interact With Objects"" option is enabled on SimplePointer the events InteractableObjectTouched and InteractableObjectUntouched are often repeatedly called one after another when the pointer remains on the same object. If you add a highlighter to the object, you can see it flicker as a result of this.",C4,RA,L1,RLM,Improper Initialization
ExtendRealityLtd/VRTK,836,"Can't Select Objects Properly w/ Oculus SDK | Steps to reproduce are:1) Import OVR SDK + Avatar SDK2) Import VRTK3) Create a new scene4) Drop OVRCameraRig and LocalAvatar prefabs into the scene5) Drop VRTK Manager, PlayArea, LeftController, and RightController into the scene6) Configure as per Oculus VRTK set-up video, set ""interact with objects"" on SimplePointer7) Create a plane and a cube with InteractableObject and a rigidbody on the cube, set ""grabbable"" and highlight yellow8) Notice that th",C4,IC,L1,IIV,
ExtendRealityLtd/VRTK,844,"Color Swap Highlighter does not restore color, if (shared) material is modified at runtime | Happens if you have gameobjects / interactibles which dynamically change their color at runtime. E.g. a random color is assigned to a cube in the `Start()` method using `material.color = myColor`). If afterwards a controller touches the cube, it will correctly adopt the selected highlightColor but will never go back to its initial state. The reason is that on the first occasion that the material of a ren",C4,IC,L4,RLM,Improper Operation
ExtendRealityLtd/VRTK,845,fix(Interaction): backup / restore of materials | Materials are now cloned when backing them up so there is no way the ChangeToHighlightColor function can overwrite these settings.Fixes https://github.com/thestonefox/VRTK/issues/844,C4,AF,L1,IAC,
ExtendRealityLtd/VRTK,856,"Object Auto Grab a prefab -> Grab does not hide Controller | I used the Gun from an example-scene and made a prefab out of it, then did the following:1) Attach VRTK_Object_Auto_Grab to Controller2) Choose gun-prefab and set it to ""Object to Grab""3) Check ""Clone Grabbed Object"" since the object is a prefab4) Make sure the gun has ""Hide Controller on Grab"" checked5) Play(optional) 6) If the Attach-Mechanic is ""ChildOfController"", then the gun will be kinematic after StopGrab, even though the prefa",C4,IC,L1,RLM,Improper Operation
ExtendRealityLtd/VRTK,864,"Simulator controller's rotation doesn't work in sample 003_Controller_SimplePointer (Add Screenshot) | here is a screenshot, you can see the controller's pitch angle doesn't effect on the pointer.https://raw.githubusercontent.com/met7/asset_atlas/master/vr_doc/Image.png",C4,IC,L1,TDI,
ExtendRealityLtd/VRTK,910,"Issues dragging items off their original canvas | ### Environment * Source of VRTK: GitHub clone * Version of VRTK: 787550e8a0be0ab7cb469a80db6c1117e57c4bc8 * Version of Unity3D: 5.4.4f1### Steps to reproduce- Example scene 34- Pick up either ""Drag Me On Here"" or ""Drag Me Anywhere""- Flick your wrist to get fast movement off original canvas (while dragging)- Release- Attempt to pick up & drag objects again### Expected behavior- ""Drag Me On Here"" should stop at canvas edge- Both objects should con",C4,IC,L1,GCE,Incorrect Calculation
ExtendRealityLtd/VRTK,911,"Objects highlighted with pointer are intermittently un-highlighting / flickering | ### Environment * Github * Latest Github release but have been seeing this issue from version 3.0.1 up to latest Github. * Unity 5.6b3 - b6### Steps to reproduce1. Open example scene 003_Controller_SimplePointer2. Expand the world WorldObjects object in the hierarchy and select the Person object3. On the Person root object, add a Box Collider and change the bounds to generously surround the Person (Size 1.35, 2.8,",C4,IC,L1,ICFM,Pipeline Misordering
ExtendRealityLtd/VRTK,928,"fix(Climbing): Jitter on second hand grab climb state | When climbing, grabbing the same object with your other handwould not put the PlayerClimb physics kinematic state in thecorrect value. This came from the correct state not being storedwhen the player velocity modifies the object. This would causeheavy flickering of the Oculus touch controllers as physics wasfighting with the system to get the player area in the correctspot.",C4,RA,L1,ICFM,Scope Mismatch
ExtendRealityLtd/VRTK,942,fix(Pointer): ensure visibility and interaction states are toggled | There was an issue where the cursor and tracer visibility could notbe toggled to always visible unless a toggle event was called.There was another issue where if the tracer or cursor was activethat the interaction object would not be enabled until the pointeractivation button was pressed.This has now been fixed by ensuring the correct state of the tracerand cursor visibility is checked taking into account the visibilitystate. A,C4,IC,L1,UPF,
ExtendRealityLtd/VRTK,946,fix(Pointer): always on visibility | Setting either the visibility flag of the tracer or cursor of any of thepointer renderers resulted in not drawing anything or never updating therendered object. This fix makes sure to account for the visibilityflags.,C4,IC,L1,RLM,Improper Operation
ExtendRealityLtd/VRTK,949,fix(Pointer): prevent flickering when activating an always on pointer | If the tracer or cursor was set to always on and the activation buttonwas pressed then the cursor would be set to disable renderers andre-enable next frame which would cause the flickering.This has now been resolved by only calling the disable if the pointerisn't using always on.Another issue has been fixed with the play area cursor not coming onand staying on at the right times. It should always come on when thecursor is ac,C4,RA,L1,ICFM,Pipeline Misordering
