repo,id,symptom_annotator_1,symptom_annotator_2,symptom_annotator_3,symptom_annotator_4,symptom_annotator_5,symptom_final,rootcause_annotator_1,rootcause_annotator_2,rootcause_annotator_3,rootcause_annotator_4,rootcause_annotator_5,rootcause_final,entity_annotator_1,entity_annotator_2,entity_annotator_3,entity_annotator_4,entity_annotator_5,entity_final
Detegr/openRBRVR,4,RA,RA,RA,RA,RA,RA,ICFM,IIV,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
Devoxx4KidsDE/workshop-maze-vr,13,IC,IC,IC,IC,IC,IC,IAC,RLM,IAC,GCE,IAC,IAC,L3,L3,L3,L3,L2,L3
Dominux/DGS,14,SD,IC,SD,SD,AF,SD,RLM,RLM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
Dominux/DGS,40,IC,IC,IC,IC,IC,IC,RLM,RLM,IAC,RLM,RLM,RLM,L3,L3,L3,L3,L2,L3
DrBibop/RoR2VRMod,65,VF,VF,VF,VF,VF,VF,ICFM,ICFM,RLM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
EternalTrail/eeVR,1,RS,RS,RS,RS,RS,RS,ICFM,ICFM,RLM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
EternalTrail/eeVR,62,RA,RA,RA,RA,RA,RA,GCE,GCE,GCE,GCE,GCE,GCE,L5,L5,L5,L5,L5,L5
EternalTrail/eeVR,69,IC,IC,IC,IC,IC,IC,IIV,IIV,IIV,IIV,IIV,IIV,L3,L4,L3,L3,L3,L3
Eusth/VookaRaylee,3,SD,SD,SD,SD,SD,SD,IAC,IAC,IAC,IAC,IAC,IAC,L3,L3,L3,L3,L4,L3
ExtendRealityLtd/VRTK,167,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,242,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,260,RA,IC,IC,IC,IC,IC,ICFM,ICFM,GCE,ICFM,IAC,ICFM,L1,L1,L1,L1,L3,L1
ExtendRealityLtd/VRTK,303,IC,IC,IC,IC,IC,IC,RLM,UPF,UPF,UPF,UPF,UPF,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,352,IC,IC,RA,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L4,L5,L1,L1,L1,L1
ExtendRealityLtd/VRTK,356,AF,AF,AF,AF,AF,AF,ICFM,IIV,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,378,SD,VF,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,UPF,ICFM,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,405,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,448,VF,IC,IC,IC,IC,IC,UPF,UPF,UPF,UPF,UPF,UPF,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,454,IC,IC,IC,IC,IC,IC,RLM,RLM,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,455,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L1,L1,L3,L1,L1
ExtendRealityLtd/VRTK,482,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,RLM,RLM,RLM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,489,IC,IC,IC,SD,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,518,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L4,L4,L1,L4,L4,L4
ExtendRealityLtd/VRTK,528,RA,RA,RA,RA,RA,RA,GCE,TDI,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,566,IC,IC,IC,IC,IC,IC,ICFM,RLM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,570,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,RLM,GCE,GCE,L4,L4,L2,L4,L4,L4
ExtendRealityLtd/VRTK,610,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L4,L1,L1,L1
ExtendRealityLtd/VRTK,612,AF,AF,RS,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,624,AF,AF,AF,AF,AF,AF,TDI,TDI,TDI,TDI,TDI,TDI,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,758,RA,RA,RA,VF,RA,RA,IIV,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L5,L5,L5
ExtendRealityLtd/VRTK,778,RA,RA,RA,RA,RA,RA,ICFM,RLM,ICFM,ICFM,ICFM,ICFM,L5,L3,L5,L5,L5,L5
ExtendRealityLtd/VRTK,783,SD,SD,SD,SD,RA,SD,GCE,GCE,GCE,GCE,GCE,GCE,L1,L5,L1,L1,L1,L1
ExtendRealityLtd/VRTK,789,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,792,RS,RS,RS,RS,RS,RS,TDI,IAC,TDI,TDI,TDI,TDI,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,798,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,827,SD,VF,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,833,RA,RA,RA,RA,RA,RA,RLM,RLM,RLM,RLM,RLM,RLM,L1,L1,L4,L1,L1,L1
ExtendRealityLtd/VRTK,836,IC,IC,IC,IC,IC,IC,IIV,IIV,IIV,IIV,IIV,IIV,L1,L1,L3,L1,L1,L1
ExtendRealityLtd/VRTK,844,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,845,AF,AF,AF,AF,AF,AF,IAC,IAC,IAC,IAC,IAC,IAC,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,856,IC,IC,IC,IC,IC,IC,RLM,ICFM,RLM,RLM,RLM,RLM,L1,L1,L1,L3,L1,L1
ExtendRealityLtd/VRTK,864,IC,IC,IC,IC,IC,IC,TDI,TDI,TDI,TDI,TDI,TDI,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,910,IC,IC,IC,IC,IC,IC,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,911,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,928,RA,RA,RA,RA,RA,RA,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,942,IC,IC,IC,RA,IC,IC,UPF,UPF,UPF,UPF,UPF,UPF,L2,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,946,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,UPF,RLM,RLM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,949,RA,RA,RA,RA,RA,RA,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,963,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L4,L3,L3,L3
ExtendRealityLtd/VRTK,972,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,973,VF,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,IAC,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,978,AF,AF,AF,AF,AF,AF,IIV,RLM,RLM,RLM,RLM,RLM,L3,L5,L3,L3,L3,L3
ExtendRealityLtd/VRTK,985,IC,IC,IC,IC,IC,IC,IIV,ICFM,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,995,RA,RA,RA,RA,RA,RA,UPF,UPF,UPF,UPF,UPF,UPF,L5,L3,L5,L3,L3,L3
ExtendRealityLtd/VRTK,1113,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1117,SD,AF,SD,SD,SD,SD,RLM,IIV,RLM,RLM,RLM,RLM,L1,L1,L1,L5,L1,L1
ExtendRealityLtd/VRTK,1173,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,RLM,RLM,RLM,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1178,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1202,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L1,L5,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1230,IC,AF,IC,IC,IC,IC,IIV,GCE,TDI,IIV,IIV,IIV,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1259,IC,IC,AF,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1265,SD,SD,SD,SD,SD,SD,UPF,GCE,GCE,GCE,GCE,GCE,L1,L1,L3,L1,L1,L1
ExtendRealityLtd/VRTK,1278,AF,AF,AF,AF,AF,AF,RLM,ICFM,RLM,RLM,RLM,RLM,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1307,IC,IC,RA,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L3,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1330,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1352,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1357,RS,RS,RS,RS,RS,RS,TDI,TDI,TDI,TDI,TDI,TDI,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1362,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L3,L4,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1407,VF,VF,VF,VF,VF,VF,ICFM,TDI,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1411,SD,SD,SD,RA,SD,SD,GCE,IAC,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1413,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1426,SD,AF,SD,SD,SD,SD,RLM,RLM,RLM,RLM,RLM,RLM,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1440,SD,SD,SD,SD,SD,SD,GCE,GCE,GCE,GCE,GCE,GCE,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1454,SD,SD,SD,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1469,SD,SD,SD,SD,RS,SD,TDI,TDI,TDI,TDI,TDI,TDI,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1472,AF,IC,IC,IC,IC,IC,IAC,IAC,IAC,IAC,IAC,IAC,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1473,SD,SD,SD,SD,SD,SD,ICFM,IIV,IIV,IIV,IIV,IIV,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1475,SD,SD,SD,SD,SD,SD,GCE,RLM,GCE,GCE,GCE,GCE,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1498,AF,AF,AF,AF,SD,AF,RLM,ICFM,ICFM,ICFM,RLM,ICFM,L1,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1499,SD,RA,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L3,L1,L1,L1
ExtendRealityLtd/VRTK,1508,AF,AF,AF,AF,AF,AF,TDI,RLM,RLM,RLM,RLM,RLM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1517,SD,SD,SD,SD,SD,SD,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1530,VF,AF,VF,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L5,L1,L1,L1
ExtendRealityLtd/VRTK,1536,AF,AF,AF,AF,AF,AF,RLM,RLM,RLM,RLM,ICFM,RLM,L1,L5,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1537,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L1,L5,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1542,IC,IC,IC,IC,IC,IC,IIV,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1543,RS,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1548,AF,AF,AF,AF,AF,AF,ICFM,IIV,IIV,IIV,IIV,IIV,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1559,VF,RS,VF,VF,VF,VF,GCE,GCE,GCE,IAC,GCE,GCE,L5,L5,L5,L5,L5,L5
ExtendRealityLtd/VRTK,1563,IC,IC,IC,IC,IC,IC,UPF,TDI,IAC,UPF,UPF,UPF,L3,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1607,SD,SD,SD,IC,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L4,L4,L4,L4,L4,L4
ExtendRealityLtd/VRTK,1678,RS,VF,RS,RS,RS,RS,IIV,IIV,IIV,IIV,IIV,IIV,L3,L3,L3,L3,L1,L3
ExtendRealityLtd/VRTK,1694,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L4,L1
ExtendRealityLtd/VRTK,1741,SD,SD,SD,SD,SD,SD,IIV,UPF,GCE,IIV,IIV,IIV,L5,L5,L5,L5,L5,L5
ExtendRealityLtd/VRTK,1821,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
ExtendRealityLtd/VRTK,1866,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1911,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,1988,IC,RA,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,2018,IC,IC,IC,IC,IC,IC,TDI,TDI,TDI,TDI,TDI,TDI,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,2027,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L5,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,2032,RA,IC,IC,IC,IC,IC,GCE,GCE,RLM,RLM,RLM,RLM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK,2038,IC,IC,IC,IC,IC,IC,RLM,RLM,RLM,RLM,RLM,RLM,L1,L1,L1,L1,L1,L1
ExtendRealityLtd/VRTK.Prefabs,9,IC,IC,IC,IC,IC,IC,ICFM,ICFM,GCE,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
EyeTrackVR/EyeTrackVR,19,IC,AF,AF,AF,AF,AF,GCE,ICFM,ICFM,ICFM,IIV,ICFM,L4,L3,L3,L3,L4,L3
EyeTrackVR/EyeTrackVR,24,IC,IC,IC,IC,IC,IC,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
EyeTrackVR/EyeTrackVR,80,VF,VF,VF,VF,VF,VF,IIV,IIV,IIV,IIV,IIV,IIV,L1,L5,L1,L1,L1,L1
FireFlyForLife/rlOpenXR,1,VF,VF,VF,VF,VF,VF,RLM,RLM,RLM,RLM,IIV,RLM,L2,L5,L5,L5,L5,L5
GodotVR/godot-xr-tools,69,SD,SD,SD,SD,SD,SD,ICFM,ICFM,GCE,ICFM,RLM,ICFM,L5,L5,L5,L5,L5,L5
GodotVR/godot-xr-tools,109,AF,AF,AF,AF,AF,AF,UPF,UPF,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
GodotVR/godot-xr-tools,211,RA,IC,RA,RA,RA,RA,GCE,ICFM,GCE,GCE,GCE,GCE,L5,L5,L4,L5,L5,L5
GodotVR/godot-xr-tools,216,VF,VF,VF,VF,VF,VF,IIV,IIV,IIV,IIV,IIV,IIV,L1,L1,L1,L1,L1,L1
GodotVR/godot-xr-tools,227,SD,SD,SD,SD,SD,SD,ICFM,IAC,ICFM,ICFM,ICFM,ICFM,L5,L5,L5,L3,L5,L5
GodotVR/godot-xr-tools,405,RA,RA,RA,RA,RA,RA,ICFM,UPF,UPF,UPF,UPF,UPF,L4,L4,L4,L4,L4,L4
GodotVR/godot-xr-tools,445,AF,AF,AF,AF,RS,AF,UPF,RLM,UPF,UPF,UPF,UPF,L3,L3,L3,L3,L3,L3
GodotVR/godot-xr-tools,532,IC,IC,IC,IC,IC,IC,ICFM,ICFM,ICFM,UPF,ICFM,ICFM,L3,L3,L3,L3,L2,L3
GodotVR/godot-xr-tools,573,VF,VF,IC,VF,VF,VF,ICFM,ICFM,ICFM,ICFM,ICFM,ICFM,L1,L1,L1,L1,L1,L1
GodotVR/godot-xr-tools,608,SD,SD,RS,SD,SD,SD,IIV,IIV,IIV,IIV,IIV,IIV,L4,L4,L4,L4,L4,L4
